,top_parent,second_level,third_level,fourth_level,fifth_level
5362,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Timing device assemblers and adjusters,Timing device assemblers and adjusters
5363,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Miscellaneous assemblers and fabricators,Miscellaneous assemblers and fabricators
5364,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Aircraft pilots and flight engineers,"Airline pilots, copilots, and flight engineers"
5365,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Aircraft pilots and flight engineers,Commercial pilots
5366,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,"Airline pilots, copilots, and flight engineers","Airline pilots, copilots, and flight engineers"
5367,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Commercial pilots,Commercial pilots
5368,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Air traffic controllers and airfield operations specialists,Air traffic controllers
5369,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Air traffic controllers and airfield operations specialists,Airfield operations specialists
5370,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Air traffic controllers,Air traffic controllers
5371,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Airfield operations specialists,Airfield operations specialists
5372,"Total, all occupations",Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,Flight attendants,Flight attendants
5373,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Massage therapists,Massage therapists
5374,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Dental assistants
5375,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Medical assistants
5376,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Medical equipment preparers
5377,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Medical transcriptionists
5378,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Pharmacy aides
5379,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Veterinary assistants and laboratory animal caretakers
5380,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,Phlebotomists
5381,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous healthcare support occupations,"Healthcare support workers, all other"
5382,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dental assistants,Dental assistants
5383,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Medical assistants,Medical assistants
5384,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Medical equipment preparers,Medical equipment preparers
5385,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Medical transcriptionists,Medical transcriptionists
5386,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Pharmacy aides,Pharmacy aides
5387,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Veterinary assistants and laboratory animal caretakers,Veterinary assistants and laboratory animal caretakers
5388,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Phlebotomists,Phlebotomists
5389,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Healthcare support workers, all other","Healthcare support workers, all other"
5390,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Animal control workers,Animal control workers
5391,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Private detectives and investigators,Private detectives and investigators
5392,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Security guards and gambling surveillance officers,Gambling surveillance officers and gambling investigators
5393,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Security guards and gambling surveillance officers,Security guards
5394,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Gambling surveillance officers and gambling investigators,Gambling surveillance officers and gambling investigators
5395,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Security guards,Security guards
5396,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous protective service workers,Crossing guards and flaggers
5397,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous protective service workers,"Lifeguards, ski patrol, and other recreational protective service workers"
5398,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous protective service workers,Transportation security screeners
5399,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous protective service workers,School bus monitors
5400,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous protective service workers,"Protective service workers, all other"
5401,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Crossing guards and flaggers,Crossing guards and flaggers
5402,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Lifeguards, ski patrol, and other recreational protective service workers","Lifeguards, ski patrol, and other recreational protective service workers"
5403,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Transportation security screeners,Transportation security screeners
5404,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,School bus monitors,School bus monitors
5405,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Protective service workers, all other","Protective service workers, all other"
5406,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dining room and cafeteria attendants and bartender helpers,Dining room and cafeteria attendants and bartender helpers
5407,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dishwashers,Dishwashers
5408,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop","Hosts and hostesses, restaurant, lounge, and coffee shop"
5409,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Food preparation and serving related workers, all other","Food preparation and serving related workers, all other"
5410,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Childcare workers,Childcare workers
5411,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Recreation and fitness workers,Exercise trainers and group fitness instructors
5412,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Recreation and fitness workers,Recreation workers
5413,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Exercise trainers and group fitness instructors,Exercise trainers and group fitness instructors
5414,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Recreation workers,Recreation workers
5415,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Residential advisors,Residential advisors
5416,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Personal care and service workers, all other","Personal care and service workers, all other"
5417,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Models, demonstrators, and product promoters",Demonstrators and product promoters
5418,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Models, demonstrators, and product promoters",Models
5419,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Demonstrators and product promoters,Demonstrators and product promoters
5420,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Models,Models
5421,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Real estate brokers and sales agents,Real estate brokers
5422,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Real estate brokers and sales agents,Real estate sales agents
5423,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Real estate brokers,Real estate brokers
5424,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Real estate sales agents,Real estate sales agents
5425,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Sales engineers,Sales engineers
5426,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Telemarketers,Telemarketers
5427,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous sales and related workers,"Door-to-door sales workers, news and street vendors, and related workers"
5428,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Miscellaneous sales and related workers,"Sales and related workers, all other"
5429,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Door-to-door sales workers, news and street vendors, and related workers","Door-to-door sales workers, news and street vendors, and related workers"
5430,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Sales and related workers, all other","Sales and related workers, all other"
5431,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Data entry and information processing workers,Data entry keyers
5432,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Data entry and information processing workers,Word processors and typists
5433,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Data entry keyers,Data entry keyers
5434,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Word processors and typists,Word processors and typists
5435,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Desktop publishers,Desktop publishers
5436,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Insurance claims and policy processing clerks,Insurance claims and policy processing clerks
5437,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Mail clerks and mail machine operators, except postal service","Mail clerks and mail machine operators, except postal service"
5438,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Office clerks, general","Office clerks, general"
5439,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Office machine operators, except computer","Office machine operators, except computer"
5440,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Proofreaders and copy markers,Proofreaders and copy markers
5441,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Control and valve installers and repairers,Mechanical door repairers
5442,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Control and valve installers and repairers,"Control and valve installers and repairers, except mechanical door"
5443,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Mechanical door repairers,Mechanical door repairers
5444,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Control and valve installers and repairers, except mechanical door","Control and valve installers and repairers, except mechanical door"
5445,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Heating, air conditioning, and refrigeration mechanics and installers","Heating, air conditioning, and refrigeration mechanics and installers"
5446,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Home appliance repairers,Home appliance repairers
5447,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Industrial machinery installation, repair, and maintenance workers",Industrial machinery mechanics
5448,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Industrial machinery installation, repair, and maintenance workers","Maintenance workers, machinery"
5449,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Industrial machinery installation, repair, and maintenance workers",Millwrights
5450,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Industrial machinery installation, repair, and maintenance workers","Refractory materials repairers, except brickmasons"
5451,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Industrial machinery mechanics,Industrial machinery mechanics
5452,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Maintenance workers, machinery","Maintenance workers, machinery"
5453,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Millwrights,Millwrights
5454,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Refractory materials repairers, except brickmasons","Refractory materials repairers, except brickmasons"
5455,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Line installers and repairers,Electrical power-line installers and repairers
5456,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Line installers and repairers,Telecommunications line installers and repairers
5457,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Electrical power-line installers and repairers,Electrical power-line installers and repairers
5458,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Telecommunications line installers and repairers,Telecommunications line installers and repairers
5459,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Precision instrument and equipment repairers,Camera and photographic equipment repairers
5460,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Precision instrument and equipment repairers,Medical equipment repairers
5461,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Precision instrument and equipment repairers,Musical instrument repairers and tuners
5462,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Precision instrument and equipment repairers,Watch and clock repairers
5463,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Precision instrument and equipment repairers,"Precision instrument and equipment repairers, all other"
5464,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Camera and photographic equipment repairers,Camera and photographic equipment repairers
5465,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Medical equipment repairers,Medical equipment repairers
5466,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Musical instrument repairers and tuners,Musical instrument repairers and tuners
5467,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Watch and clock repairers,Watch and clock repairers
5468,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Precision instrument and equipment repairers, all other","Precision instrument and equipment repairers, all other"
5469,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Maintenance and repair workers, general","Maintenance and repair workers, general"
5470,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Wind turbine service technicians,Wind turbine service technicians
5471,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers","Coin, vending, and amusement machine servicers and repairers"
5472,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers",Commercial divers
5473,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers",Locksmiths and safe repairers
5474,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers",Manufactured building and mobile home installers
5475,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers",Riggers
5476,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers",Signal and track switch repairers
5477,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers","Helpers--installation, maintenance, and repair workers"
5478,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Miscellaneous installation, maintenance, and repair workers","Installation, maintenance, and repair workers, all other"
5479,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Coin, vending, and amusement machine servicers and repairers","Coin, vending, and amusement machine servicers and repairers"
5480,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Commercial divers,Commercial divers
5481,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Locksmiths and safe repairers,Locksmiths and safe repairers
5482,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Manufactured building and mobile home installers,Manufactured building and mobile home installers
5483,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Riggers,Riggers
5484,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Signal and track switch repairers,Signal and track switch repairers
5485,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Helpers--installation, maintenance, and repair workers","Helpers--installation, maintenance, and repair workers"
5486,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Installation, maintenance, and repair workers, all other","Installation, maintenance, and repair workers, all other"
5487,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Chemical processing machine setters, operators, and tenders",Chemical equipment operators and tenders
5488,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Chemical processing machine setters, operators, and tenders","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders"
5489,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Chemical equipment operators and tenders,Chemical equipment operators and tenders
5490,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders"
5491,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Crushing, grinding, polishing, mixing, and blending workers","Crushing, grinding, and polishing machine setters, operators, and tenders"
5492,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Crushing, grinding, polishing, mixing, and blending workers","Grinding and polishing workers, hand"
5493,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Crushing, grinding, polishing, mixing, and blending workers","Mixing and blending machine setters, operators, and tenders"
5494,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Crushing, grinding, and polishing machine setters, operators, and tenders","Crushing, grinding, and polishing machine setters, operators, and tenders"
5495,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Grinding and polishing workers, hand","Grinding and polishing workers, hand"
5496,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Mixing and blending machine setters, operators, and tenders","Mixing and blending machine setters, operators, and tenders"
5497,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Cutting workers,"Cutters and trimmers, hand"
5498,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Cutting workers,"Cutting and slicing machine setters, operators, and tenders"
5499,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Cutters and trimmers, hand","Cutters and trimmers, hand"
5500,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Cutting and slicing machine setters, operators, and tenders","Cutting and slicing machine setters, operators, and tenders"
5501,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
5502,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Furnace, kiln, oven, drier, and kettle operators and tenders","Furnace, kiln, oven, drier, and kettle operators and tenders"
5503,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,"Inspectors, testers, sorters, samplers, and weighers","Inspectors, testers, sorters, samplers, and weighers"
5504,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Jewelers and precious stone and metal workers,Jewelers and precious stone and metal workers
5505,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dental and ophthalmic laboratory technicians and medical appliance technicians,Dental laboratory technicians
5506,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dental and ophthalmic laboratory technicians and medical appliance technicians,Medical appliance technicians
5507,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dental and ophthalmic laboratory technicians and medical appliance technicians,Ophthalmic laboratory technicians
5508,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Dental laboratory technicians,Dental laboratory technicians
5509,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Medical appliance technicians,Medical appliance technicians
5510,"Total, all occupations",Healthcare support occupations,Other healthcare support occupations,Ophthalmic laboratory technicians,Ophthalmic laboratory technicians
5511,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of law enforcement workers,First-line supervisors of correctional officers
5512,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of law enforcement workers,First-line supervisors of police and detectives
5513,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of correctional officers,First-line supervisors of correctional officers
5514,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of police and detectives,First-line supervisors of police and detectives
5515,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of firefighting and prevention workers,First-line supervisors of firefighting and prevention workers
5516,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"Miscellaneous first-line supervisors, protective service workers",First-line supervisors of security workers
5517,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"Miscellaneous first-line supervisors, protective service workers","First-line supervisors of protective service workers, all other"
5518,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of security workers,First-line supervisors of security workers
5519,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"First-line supervisors of protective service workers, all other","First-line supervisors of protective service workers, all other"
5520,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,Chefs and head cooks,Chefs and head cooks
5521,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of food preparation and serving workers,First-line supervisors of food preparation and serving workers
5522,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers
5523,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"First-line supervisors of landscaping, lawn service, and groundskeeping workers","First-line supervisors of landscaping, lawn service, and groundskeeping workers"
5524,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of entertainment and recreation workers,First-line supervisors of gambling services workers
5525,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of entertainment and recreation workers,"First-line supervisors of entertainment and recreation workers, except gambling services"
5526,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of gambling services workers,First-line supervisors of gambling services workers
5527,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"First-line supervisors of entertainment and recreation workers, except gambling services","First-line supervisors of entertainment and recreation workers, except gambling services"
5528,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of personal service workers,First-line supervisors of personal service workers
5529,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers
5530,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of non-retail sales workers,First-line supervisors of non-retail sales workers
5531,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers
5532,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"First-line supervisors of farming, fishing, and forestry workers","First-line supervisors of farming, fishing, and forestry workers"
5533,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of construction trades and extraction workers,First-line supervisors of construction trades and extraction workers
5534,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"First-line supervisors of mechanics, installers, and repairers","First-line supervisors of mechanics, installers, and repairers"
5535,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers
5536,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,Aircraft cargo handling supervisors,Aircraft cargo handling supervisors
5537,"Total, all occupations",Protective service occupations,Supervisors of protective service workers,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors","First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors"
5538,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Firefighters,Firefighters
5539,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Fire inspectors,Fire inspectors and investigators
5540,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Fire inspectors,Forest fire inspectors and prevention specialists
5541,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Fire inspectors and investigators,Fire inspectors and investigators
5542,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Forest fire inspectors and prevention specialists,Forest fire inspectors and prevention specialists
5543,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cooks,"Cooks, fast food"
5544,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cooks,"Cooks, institution and cafeteria"
5545,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cooks,"Cooks, private household"
5546,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cooks,"Cooks, restaurant"
5547,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cooks,"Cooks, short order"
5548,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cooks,"Cooks, all other"
5549,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Cooks, fast food","Cooks, fast food"
5550,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Cooks, institution and cafeteria","Cooks, institution and cafeteria"
5551,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Cooks, private household","Cooks, private household"
5552,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Cooks, restaurant","Cooks, restaurant"
5553,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Cooks, short order","Cooks, short order"
5554,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Cooks, all other","Cooks, all other"
5555,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Food preparation workers,Food preparation workers
5556,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Building cleaning workers,"Janitors and cleaners, except maids and housekeeping cleaners"
5557,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Building cleaning workers,Maids and housekeeping cleaners
5558,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Building cleaning workers,"Building cleaning workers, all other"
5559,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Janitors and cleaners, except maids and housekeeping cleaners","Janitors and cleaners, except maids and housekeeping cleaners"
5560,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Maids and housekeeping cleaners,Maids and housekeeping cleaners
5561,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Building cleaning workers, all other","Building cleaning workers, all other"
5562,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Pest control workers,Pest control workers
5563,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Animal trainers,Animal trainers
5564,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Animal caretakers,Animal caretakers
5565,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cashiers,Cashiers
5566,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cashiers,Gambling change persons and booth cashiers
5567,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Cashiers,Cashiers
5568,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Gambling change persons and booth cashiers,Gambling change persons and booth cashiers
5569,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Counter and rental clerks and parts salespersons,Counter and rental clerks
5570,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Counter and rental clerks and parts salespersons,Parts salespersons
5571,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Counter and rental clerks,Counter and rental clerks
5572,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Parts salespersons,Parts salespersons
5573,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Retail salespersons,Retail salespersons
5574,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Switchboard operators, including answering service","Switchboard operators, including answering service"
5575,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Telephone operators,Telephone operators
5576,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Communications equipment operators, all other","Communications equipment operators, all other"
5577,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Agricultural inspectors,Agricultural inspectors
5578,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Animal breeders,Animal breeders
5579,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Graders and sorters, agricultural products","Graders and sorters, agricultural products"
5580,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Miscellaneous agricultural workers,Agricultural equipment operators
5581,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Miscellaneous agricultural workers,"Farmworkers and laborers, crop, nursery, and greenhouse"
5582,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Miscellaneous agricultural workers,"Farmworkers, farm, ranch, and aquacultural animals"
5583,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Miscellaneous agricultural workers,"Agricultural workers, all other"
5584,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Agricultural equipment operators,Agricultural equipment operators
5585,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Farmworkers and laborers, crop, nursery, and greenhouse","Farmworkers and laborers, crop, nursery, and greenhouse"
5586,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Farmworkers, farm, ranch, and aquacultural animals","Farmworkers, farm, ranch, and aquacultural animals"
5587,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Agricultural workers, all other","Agricultural workers, all other"
5588,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,Boilermakers,Boilermakers
5589,"Total, all occupations",Protective service occupations,Firefighting and prevention workers,"Brickmasons, blockmasons, and stonemasons",Brickmasons and blockmasons
