,top_parent,second_level,third_level,fourth_level,fifth_level
103,"Total, all occupations",Management occupations,Top executives,"Biological science teachers, postsecondary","Biological science teachers, postsecondary"
104,"Total, all occupations",Management occupations,Top executives,"Forestry and conservation science teachers, postsecondary","Forestry and conservation science teachers, postsecondary"
105,"Total, all occupations",Management occupations,Top executives,"Physical sciences teachers, postsecondary","Atmospheric, earth, marine, and space sciences teachers, postsecondary"
106,"Total, all occupations",Management occupations,Top executives,"Physical sciences teachers, postsecondary","Chemistry teachers, postsecondary"
107,"Total, all occupations",Management occupations,Top executives,"Physical sciences teachers, postsecondary","Environmental science teachers, postsecondary"
108,"Total, all occupations",Management occupations,Top executives,"Physical sciences teachers, postsecondary","Physics teachers, postsecondary"
109,"Total, all occupations",Management occupations,Top executives,"Atmospheric, earth, marine, and space sciences teachers, postsecondary","Atmospheric, earth, marine, and space sciences teachers, postsecondary"
110,"Total, all occupations",Management occupations,Top executives,"Chemistry teachers, postsecondary","Chemistry teachers, postsecondary"
111,"Total, all occupations",Management occupations,Top executives,"Environmental science teachers, postsecondary","Environmental science teachers, postsecondary"
112,"Total, all occupations",Management occupations,Top executives,"Physics teachers, postsecondary","Physics teachers, postsecondary"
113,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Anthropology and archeology teachers, postsecondary"
114,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Area, ethnic, and cultural studies teachers, postsecondary"
115,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Economics teachers, postsecondary"
116,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Geography teachers, postsecondary"
117,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Political science teachers, postsecondary"
118,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Psychology teachers, postsecondary"
119,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Sociology teachers, postsecondary"
120,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary","Social sciences teachers, postsecondary, all other"
121,"Total, all occupations",Management occupations,Top executives,"Anthropology and archeology teachers, postsecondary","Anthropology and archeology teachers, postsecondary"
122,"Total, all occupations",Management occupations,Top executives,"Area, ethnic, and cultural studies teachers, postsecondary","Area, ethnic, and cultural studies teachers, postsecondary"
123,"Total, all occupations",Management occupations,Top executives,"Economics teachers, postsecondary","Economics teachers, postsecondary"
124,"Total, all occupations",Management occupations,Top executives,"Geography teachers, postsecondary","Geography teachers, postsecondary"
125,"Total, all occupations",Management occupations,Top executives,"Political science teachers, postsecondary","Political science teachers, postsecondary"
126,"Total, all occupations",Management occupations,Top executives,"Psychology teachers, postsecondary","Psychology teachers, postsecondary"
127,"Total, all occupations",Management occupations,Top executives,"Sociology teachers, postsecondary","Sociology teachers, postsecondary"
128,"Total, all occupations",Management occupations,Top executives,"Social sciences teachers, postsecondary, all other","Social sciences teachers, postsecondary, all other"
129,"Total, all occupations",Management occupations,Top executives,"Health teachers, postsecondary","Health specialties teachers, postsecondary"
130,"Total, all occupations",Management occupations,Top executives,"Health teachers, postsecondary","Nursing instructors and teachers, postsecondary"
131,"Total, all occupations",Management occupations,Top executives,"Health specialties teachers, postsecondary","Health specialties teachers, postsecondary"
132,"Total, all occupations",Management occupations,Top executives,"Nursing instructors and teachers, postsecondary","Nursing instructors and teachers, postsecondary"
133,"Total, all occupations",Management occupations,Top executives,"Education and library science teachers, postsecondary","Education teachers, postsecondary"
134,"Total, all occupations",Management occupations,Top executives,"Education and library science teachers, postsecondary","Library science teachers, postsecondary"
135,"Total, all occupations",Management occupations,Top executives,"Education teachers, postsecondary","Education teachers, postsecondary"
